date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:29:54	1163/1163	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Jul%202024%2019:29:54%20GMT	https://expresscourierlimited.com/robots.txt		(from )
21:29:54	116190/116190	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Jul%202023%2008:50:48%20GMT	https://expresscourierlimited.com/	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/index.html	(from )
21:29:55	629012/629012	---M-Z	200	added ('OK')	text/css	date:Sat,%2012%20Jun%202021%2005:52:10%20GMT	https://expresscourierlimited.com/wp-content/cache/min/1/7d106dbe116e9bdba61a1111e627559f.css	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/wp-content/cache/min/1/7d106dbe116e9bdba61a1111e627559f.css	(from https://expresscourierlimited.com/)
21:29:55	116190/116190	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Jul%202023%2008:50:48%20GMT	https://expresscourierlimited.com/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/index-2.html	(from https://expresscourierlimited.com/)
21:29:56	1163/1163	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Jul%202024%2019:29:56%20GMT	https://expresscourierlimited.com/feed/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/feed/index.2.delayed	(from https://expresscourierlimited.com/)
21:29:56	1163/1163	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Jul%202024%2019:29:56%20GMT	https://expresscourierlimited.com/comments/feed/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/comments/feed/index.html	(from https://expresscourierlimited.com/)
21:29:57	89496/89496	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2012%20Jun%202021%2005:52:10%20GMT	https://expresscourierlimited.com/wp-includes/js/jquery/jquery.min9d52.js?ver=3.5.1	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/wp-includes/js/jquery/jquery.min9d529d52.js	(from https://expresscourierlimited.com/)
21:29:57	117226/117226	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2005:52:10%20GMT	https://expresscourierlimited.com/wp-json/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/wp-json/index.html	(from https://expresscourierlimited.com/)
21:29:58	6747/6747	---M-Z	200	added ('OK')	application/json	date:Sat,%2012%20Jun%202021%2005:52:10%20GMT	https://expresscourierlimited.com/wp-json/wp/v2/pages/950.json	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/wp-json/wp/v2/pages/950.json	(from https://expresscourierlimited.com/)
21:29:58	73/73	---M--	200	added ('OK')	application/json	date:Sat,%2012%20Jun%202021%2005:52:10%20GMT	https://expresscourierlimited.com/wp-json/oembed/1.0/embed7466.json?url=https%3A%2F%2Fwww.expresscourierlimited.com%2F	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/wp-json/oembed/1.0/embed7466dd6c.json	(from https://expresscourierlimited.com/)
21:29:58	132/132	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2005:52:10%20GMT	https://expresscourierlimited.com/wp-json/oembed/1.0/embede163?url=https%3A%2F%2Fwww.expresscourierlimited.com%2F&format=xml	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/wp-json/oembed/1.0/embede163576e.html	(from https://expresscourierlimited.com/)
21:29:58	3866/3866	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Jun%202021%2005:52:10%20GMT	https://expresscourierlimited.com/wp-content/uploads/2019/04/omni_favicon.png	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/wp-content/uploads/2019/04/omni_favicon.png	(from https://expresscourierlimited.com/)
21:29:59	101553/101553	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:34%20GMT	https://expresscourierlimited.com/our-solutions/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/our-solutions/index.html	(from https://expresscourierlimited.com/)
21:29:59	129176/129176	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:34%20GMT	https://expresscourierlimited.com/our-solutions/freight-forwarding/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/our-solutions/freight-forwarding/index.html	(from https://expresscourierlimited.com/)
21:30:00	103104/103104	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:34%20GMT	https://expresscourierlimited.com/our-solutions/freight-forwarding/time-critical-logistics/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/our-solutions/freight-forwarding/time-critical-logistics/index.html	(from https://expresscourierlimited.com/)
21:30:00	101039/101039	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:34%20GMT	https://expresscourierlimited.com/our-solutions/freight-forwarding/air-freight/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/our-solutions/freight-forwarding/air-freight/index.html	(from https://expresscourierlimited.com/)
21:30:00	94936/94936	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:34%20GMT	https://expresscourierlimited.com/our-solutions/freight-forwarding/ground-freight/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/our-solutions/freight-forwarding/ground-freight/index.html	(from https://expresscourierlimited.com/)
21:30:01	95276/95276	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:34%20GMT	https://expresscourierlimited.com/our-solutions/freight-forwarding/managed-pickup-delivery/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/our-solutions/freight-forwarding/managed-pickup-delivery/index.html	(from https://expresscourierlimited.com/)
21:30:01	96277/96277	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:34%20GMT	https://expresscourierlimited.com/our-solutions/freight-forwarding/white-glove/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/our-solutions/freight-forwarding/white-glove/index.html	(from https://expresscourierlimited.com/)
21:30:01	99466/99466	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:34%20GMT	https://expresscourierlimited.com/our-solutions/freight-forwarding/ocean-freight/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/our-solutions/freight-forwarding/ocean-freight/index.html	(from https://expresscourierlimited.com/)
21:30:02	99822/99822	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:34%20GMT	https://expresscourierlimited.com/our-solutions/freight-forwarding/small-package-solutions/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/our-solutions/freight-forwarding/small-package-solutions/index.html	(from https://expresscourierlimited.com/)
21:30:02	120501/120501	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:34%20GMT	https://expresscourierlimited.com/our-solutions/warehousing-distribution/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/our-solutions/warehousing-distribution/index.html	(from https://expresscourierlimited.com/)
21:30:03	108089/108089	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:34%20GMT	https://expresscourierlimited.com/our-solutions/warehousing-distribution/global-3pl-services/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/our-solutions/warehousing-distribution/global-3pl-services/index.html	(from https://expresscourierlimited.com/)
21:30:03	95556/95556	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:34%20GMT	https://expresscourierlimited.com/our-solutions/warehousing-distribution/free-trade-zone-solutions/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/our-solutions/warehousing-distribution/free-trade-zone-solutions/index.html	(from https://expresscourierlimited.com/)
21:30:03	99377/99377	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:34%20GMT	https://expresscourierlimited.com/our-solutions/warehousing-distribution/cross-dock-logistics/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/our-solutions/warehousing-distribution/cross-dock-logistics/index.html	(from https://expresscourierlimited.com/)
21:30:04	99448/99448	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:34%20GMT	https://expresscourierlimited.com/our-solutions/warehousing-distribution/kitting-services/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/our-solutions/warehousing-distribution/kitting-services/index.html	(from https://expresscourierlimited.com/)
21:30:04	98364/98364	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:34%20GMT	https://expresscourierlimited.com/our-solutions/specialized-services/trade-show-logistics/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/our-solutions/specialized-services/trade-show-logistics/index.html	(from https://expresscourierlimited.com/)
21:30:05	97560/97560	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:34%20GMT	https://expresscourierlimited.com/our-solutions/specialized-services/data-center-laboratory-relocations/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/our-solutions/specialized-services/data-center-laboratory-relocations/index.html	(from https://expresscourierlimited.com/)
21:30:05	97577/97577	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:34%20GMT	https://expresscourierlimited.com/our-solutions/specialized-services/value-added-services/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/our-solutions/specialized-services/value-added-services/index.html	(from https://expresscourierlimited.com/)
21:30:06	100472/100472	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:34%20GMT	https://expresscourierlimited.com/our-solutions/specialized-services/reverse-logistics/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/our-solutions/specialized-services/reverse-logistics/index.html	(from https://expresscourierlimited.com/)
21:30:06	100601/100601	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:34%20GMT	https://expresscourierlimited.com/our-solutions/specialized-services/project-cargo/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/our-solutions/specialized-services/project-cargo/index.html	(from https://expresscourierlimited.com/)
21:30:06	103005/103005	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Sep%202022%2005:44:48%20GMT	https://expresscourierlimited.com/our-solutions/customs-brokerage-trade-compliance/u-s-customs-brokerage/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/our-solutions/customs-brokerage-trade-compliance/u-s-customs-brokerage/index.html	(from https://expresscourierlimited.com/)
21:30:07	157960/157960	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Sep%202022%2005:44:48%20GMT	https://expresscourierlimited.com/our-solutions/customs-brokerage-trade-compliance/global-customs-and-compliance/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/our-solutions/customs-brokerage-trade-compliance/global-customs-and-compliance/index.html	(from https://expresscourierlimited.com/)
21:30:07	96785/96785	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:34%20GMT	https://expresscourierlimited.com/our-solutions/technology/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/our-solutions/technology/index.html	(from https://expresscourierlimited.com/)
21:30:07	103593/103593	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:36%20GMT	https://expresscourierlimited.com/industry-expertise/semiconductor-logistics/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/industry-expertise/semiconductor-logistics/index.html	(from https://expresscourierlimited.com/)
21:30:08	104719/104719	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:36%20GMT	https://expresscourierlimited.com/industry-expertise/high-tech-logistics/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/industry-expertise/high-tech-logistics/index.html	(from https://expresscourierlimited.com/)
21:30:08	103948/103948	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2020:10:36%20GMT	https://expresscourierlimited.com/industry-expertise/medical-device-logistics/index.html	C:/Users/Fisher/Desktop/gte/cr/expresscourierlimited.com/industry-expertise/medical-device-logistics/index.html	(from https://expresscourierlimited.com/)
